expression	answer	group	answer_index
8 / 5	1.6	96	6
2 - 3	-1.0	96	6
9 - 1	8.0	96	6
5 + 4	9.0	96	6
2 * 8	16.0	96	6
2 + 1	3.0	96	6
5 * 4	20.0	97	6
5 / 3	1.6666666666666667	97	6
1 * 9	9.0	97	6
8 - 4	4.0	97	6
8 * 4	32.0	97	6
9 / 3	3.0	97	6
3 + 2	5.0	97	6
8 - 3	5.0	97	6
7 / 3	2.333333333333333	97	6
4 / 3	1.3333333333333333	97	6
1 * 1	1.0	98	8
4 * 6	24.0	98	8
8 + 8	16.0	98	8
6 - 9	-3.0	98	8
4 * 9	36.0	98	8
2 - 3	-1.0	98	8
4 + 8	12.0	98	8
4 / 2	2.0	98	8
1 + 5	6.0	98	8
2 * 9	18.0	98	8
9 * 3	27.0	99	4
3 * 5	15.0	99	4
3 - 3	0.0	99	4
5 + 1	6.0	99	4
5 - 6	-1.0	99	4
7 / 6	1.1666666666666667	99	4
2 + 2	4.0	99	4
7 + 5	12.0	99	4
1 * 2	2.0	99	4
9 - 8	1.0	99	4
